id,paper code,first name,last name,id number,email address,external tool  laboratory 1   osmosis   2024  real ,external tool  cells and microscopy  real ,external tool  post lab   heart and lung dissection   2024  ,external tool  acids   bases  blood  real ,external tool  lab  musculoskeletal   deer knee dissection  ,external tool  pre lab 6  endocrine and histology  real ,external tool  pre lab one  introduction to lt and your prac,external tool  pre lab  cells and microscopy  real ,external tool  pre lab 2 the heart and lungs  2024  real ,external tool  pre lab four  acids   bases  blood  real ,external tool  pre lab  musculoskeletal  real ,external tool  nurse102   lab 6  endocrine  uranalysis and h,assignment  mcq 1  20    real ,assignment  mcq 2  20    real ,assignment  saq 1  15    real ,assignment  saq 2  15    real ,paper total  real ,last downloaded from this paper,grade level,comments
11,NURSE102-24A (HAM),Merle,Claud,1032902,merle.claud@gmail.com,7,10,13,20.5,11.3,5,4.5,2,3.5,9.5,10,12.8,42.5,75,15,23.3,54.13,1723606055,,
12,NURSE102-24A (HAM),Jarett,Rush,1816512,jarett.rush@gmail.com,12.3,9.5,13.7,19.8,12.3,4.5,4.8,5,3.5,11.5,9.6,15.3,85,90,81.7,91.7,87.99,1723606055,,
13,NURSE102-24A (HAM),Newton,Kiarra,1930875,newton.kiarra@waikato.ac.nz,14.8,10,14.5,21.3,11.7,5,5,5,4.5,12,10,16,82.5,90,60,75,83.68,1723606055,,
14,NURSE102-24A (HAM),Portia,Montgomery,1820320,portia.montgomery@waikato.ac.nz,12,10,14.5,22,13.5,4.7,5,5,5,11.5,10,11.5,75,87.5,83.3,48.3,80.6,1723606055,,
15,NURSE102-24A (HAM),Armstead,Shreya,1862031,armstead.shreya@waikato.ac.nz,10.5,10,13,20.5,12,4.7,4.5,5,4,9.5,9,13,67.5,95,70,68.3,79.63,1723606055,,
16,NURSE102-24A (HAM),Vernell,Baylie,1154248,vernell.baylie@outlook.com,12.5,9,14.2,19.7,12.5,5,4.5,4,5,11.5,10,15.1,75,77.5,55,55,74.48,1723606055,,
17,NURSE102-24A (HAM),Garfield,Derik,1693366,garfield.derik@outlook.com,14.5,10,15,21,13,4.3,4.5,5,5,12,10,15.2,97.5,90,85,0,78.94,1723606055,,
18,NURSE102-24A (HAM),Rayford,Hilmer,1580427,rayford.hilmer@gmail.com,12,10,11.5,20.5,13,4.7,4.5,5,4.5,10.5,10,14.2,87.5,87.5,65,83.3,84.28,1723606055,,
19,NURSE102-24A (HAM),Dian,Kristan,1516863,dian.kristan@outlook.com,14.3,10,14.6,19,10,5,4,4,4.5,12,10,7,55,75,36.7,11.7,60.22,1723606055,,
20,NURSE102-24A (HAM),Martine,Kristal,1097806,martine.kristal@gmail.com,8.5,10,15,19.5,11.3,4.7,5,4,5,12,10,12.5,52.5,70,35,43.3,62.63,1723606055,,
21,NURSE102-24A (HAM),Bridgett,Earlene,1099048,bridgett.earlene@waikato.ac.nz,13.5,8.5,15,19,13.8,5,4.8,5,5,11.5,10,12.5,75,95,66.66,83.3,84.59,1723606055,,
22,NURSE102-24A (HAM),Ariel,Lynwood,1055474,ariel.lynwood@waikato.ac.nz,13,9.5,14.8,20,12,4.7,5,5,5,11,10,16,87.5,82.5,88.3,65,84.95,1723606055,,
23,NURSE102-24A (HAM),Perla,Delora,1107045,perla.delora@gmail.com,14,9.5,13.3,20,12.5,5,5,5,4.5,12,9,15.8,87.5,82.5,71.7,65,82.58,1723606055,,
24,NURSE102-24A (HAM),Bryton,Elyssa,1456876,bryton.elyssa@waikato.ac.nz,13.5,9,14.6,19.2,5,4,4.8,5,4.3,12,10,12.8,72.5,85,48.3,51.7,71.33,1723606055,,
25,NURSE102-24A (HAM),Louisiana,Falon,1134627,louisiana.falon@outlook.com,14.5,10,14.2,20,11.8,5,3,5,4.5,11.5,10,14,67.5,65,60,53.3,71.49,1723606055,,
26,NURSE102-24A (HAM),Erla,Ahmad,1803144,erla.ahmad@gmail.com,7,4.5,13.2,21,11.8,4.3,-,4,0,10.5,10,10.6,52.5,57.5,53.3,56.7,59.65,1723606055,,
27,NURSE102-24A (HAM),Donnie,Kylee,1044394,donnie.kylee@waikato.ac.nz,14,10,14.6,19,11.5,4.7,5,5,4.5,10,10,15.5,85,90,65,75,83.83,1723606055,,
28,NURSE102-24A (HAM),Tatyana,Willian,1681811,tatyana.willian@gmail.com,15,10,14.8,19.8,12.8,4.3,4.8,5,4,12,9,14.7,77.5,82.5,70,56.7,79.23,1723606055,,
29,NURSE102-24A (HAM),Zona,Lisette,1095898,zona.lisette@outlook.com,10.5,10,15,21,13.8,5,5,5,4.5,12,10,1,62.5,82.5,40,61.7,71.78,1723606055,,
30,NURSE102-24A (HAM),Aurthur,Clemie,1005798,aurthur.clemie@outlook.com,7.5,4,11.5,16,7,0,4.2,5,0,11,9,9.3,42.5,60,28.3,33.3,45.55,1723606055,,
31,NURSE102-24A (HAM),Antwain,Nico,1646192,antwain.nico@waikato.ac.nz,12,10,14.5,20.5,13,5,4.5,5,4.5,12,10,14.6,85,82.5,60,63.3,80.22,1723606055,,
32,NURSE102-24A (HAM),Elois,Audy,1919475,elois.audy@outlook.com,8.5,8.5,13,18,12.3,4.3,3.5,4,0,10,8,13.7,45,62.5,30,33.3,54.34,1723606055,,
33,NURSE102-24A (HAM),Fayette,Desmond,1587062,fayette.desmond@outlook.com,11.5,7.5,15,21,12.8,5,5,5,5,12,10,14,75,85,51.7,78.3,78.92,1723606055,,
34,NURSE102-24A (HAM),Boss,Eddie,1018638,boss.eddie@outlook.com,12.5,9,13.5,16.5,10.5,4.5,4,5,0,9,0,13.3,42.5,75,48.3,41.7,60.51,1723606055,,
35,NURSE102-24A (HAM),Madilynn,Marti,1292417,madilynn.marti@outlook.com,14.5,10,13.2,20.7,12.3,4,5,5,4.5,11.5,10,14.6,87.5,90,81.7,78.3,87.14,1723606055,,
36,NURSE102-24A (HAM),Alene,Grove,1271584,alene.grove@gmail.com,13,6,11.5,13,6.3,4.2,4.5,0,0,9.5,6,12.7,52.5,70,46.7,28.3,55.29,1723606055,,
37,NURSE102-24A (HAM),Male,Kayli,1358606,male.kayli@waikato.ac.nz,15,7,7,18,9.8,4.7,5,4,4.5,9,9,10,62.5,72.5,51.7,28.3,62.47,1723606055,,
38,NURSE102-24A (HAM),Sonia,Amey,1501147,sonia.amey@waikato.ac.nz,10.8,4.8,12.7,16.6,8.5,3.1,4.8,5,3.6,8.5,10,11.8,55,62.5,46.7,10,53.24,1723606055,,
39,NURSE102-24A (HAM),Elisabeth,Jett,1689316,elisabeth.jett@outlook.com,14,8,14,18,9.3,4.7,5,5,4,10.5,10,16,82.5,77.5,86.66,91.7,84.79,1723606055,,
40,NURSE102-24A (HAM),Jerel,Auston,1328110,jerel.auston@gmail.com,14.5,10,15,21,13.5,5,5,5,5,12,10,13.9,95,82.5,68.3,53.3,83.15,1723606055,,
41,NURSE102-24A (HAM),Loy,Fred,1048208,loy.fred@outlook.com,15,10,14,20.8,11.5,5,5,5,4.3,12,9,12.3,70,70,66.7,31.7,71.09,1723606055,,
42,NURSE102-24A (HAM),Doloris,Sherilyn,1119908,doloris.sherilyn@outlook.com,14,8,13,19,11,5,4.5,4,3.5,11,8,13,80,80,73.3,78.3,80.67,1723606055,,
43,NURSE102-24A (HAM),Ely,Julianne,1711043,ely.julianne@gmail.com,15,10,15,16.5,13.8,5,5,5,5,12,10,14.9,82.5,82.5,73.3,65,82.62,1723606055,,
44,NURSE102-24A (HAM),Kathrine,Lionel,1563275,kathrine.lionel@waikato.ac.nz,15,9,14,20.3,13.5,5,4.8,5,5,11,10,15.1,55,77.5,43.3,39.2,67.58,1723606055,,
45,NURSE102-24A (HAM),Dara,Jermain,1072213,dara.jermain@outlook.com,14,10,14,21.5,13.3,5,4,5,5,12,10,15.5,75,85,53.3,21.7,72.19,1723606055,,
46,NURSE102-24A (HAM),Chase,Georgianna,1351823,chase.georgianna@outlook.com,11,10,12.5,18.5,11.5,5,4.5,5,2.3,9,8.5,14.2,72.5,65,56.7,45,68.52,1723606055,,
47,NURSE102-24A (HAM),Freda,Erla,1823801,freda.erla@gmail.com,15,10,14.8,19.3,12.8,0,4.8,5,3.5,10.5,0.8,15.2,60,45,51.7,-,52.43,1723606055,,
48,NURSE102-24A (HAM),Beulah,Rolf,1875080,beulah.rolf@outlook.com,13.8,10,13.9,17.9,10.5,4.7,5,5,3.8,12,10,15.2,80,82.5,75,50,78.36,1723606055,,
49,NURSE102-24A (HAM),Nikole,Jefferson,1282550,nikole.jefferson@waikato.ac.nz,11.5,9,15,15.3,11,4.7,4,5,5,11.5,9,14,82.5,85,51.7,63.3,76.63,1723606055,,
50,NURSE102-24A (HAM),Eryn,Ronnie,1108809,eryn.ronnie@outlook.com,15,10,15,21.8,13.8,4.7,5,5,5,12,8.5,16,95,92.5,93.3,73.3,92.01,1723606055,,
51,NURSE102-24A (HAM),Georgiann,Esperanza,1240071,georgiann.esperanza@outlook.com,12.5,10,15,20.5,11.5,5,4.5,4,4.5,11,8.8,14.4,65,87.5,43.3,51.7,72.39,1723606055,,
52,NURSE102-24A (HAM),Sherry,Judah,1795529,sherry.judah@gmail.com,11,10,13.3,20,0,3.5,2.5,5,4,11,10,12.5,57.5,65,38.3,38.3,57.9,1723606055,,
53,NURSE102-24A (HAM),Kim,Nyah,1848220,kim.nyah@outlook.com,9.5,9,12.8,16.5,9.8,0,5,5,3.8,8,7.5,11.1,55,80,35,56.7,60.97,1723606055,,
54,NURSE102-24A (HAM),Tamela,Drury,1042392,tamela.drury@gmail.com,11.5,10,15,21.5,11.8,4.3,5,5,4.3,11,10,15.3,97.5,90,86.7,75,89.28,1723606055,,
55,NURSE102-24A (HAM),Verner,Durrell,1992604,verner.durrell@gmail.com,15,9,14.8,20.8,13.8,4.7,5,5,4,11.5,9,16,55,72.5,33.3,53.3,67.18,1723606055,,
56,NURSE102-24A (HAM),Shirleyann,Maryanne,1185783,shirleyann.maryanne@outlook.com,14,9,14.5,19,10.5,5,4.5,5,5,10.5,10,14.2,57.5,67.5,50,39.2,65.7,1723606055,,
57,NURSE102-24A (HAM),Clarice,Jarred,1975286,clarice.jarred@waikato.ac.nz,15,9.8,14.8,21.3,13.6,5,5,5,4.3,11.5,10,16,92.5,90,71.7,80,88.7,1723606055,,
58,NURSE102-24A (HAM),Elena,Elwanda,1467029,elena.elwanda@waikato.ac.nz,14.5,10,15,20.7,7,5,4.5,5,4,12,10,14.2,62.5,87.5,53.3,41.7,71.47,1723606055,,
59,NURSE102-24A (HAM),Wilma,Margaretta,1541500,wilma.margaretta@gmail.com,14,10,13.5,21.5,10.8,5,4.5,5,5,11.5,9.3,13.5,80,77.5,48.3,53.3,74.7,1723606055,,
60,NURSE102-24A (HAM),Joseph,Jaycie,1885060,joseph.jaycie@gmail.com,14,10,14,21.5,11.5,5,5,5,5,12,9,13.9,85,85,40,59.2,77.31,1723606055,,
61,NURSE102-24A (HAM),Caroline,Wayne,1482379,caroline.wayne@outlook.com,14,9,14.6,20.3,10.8,5,4.5,5,5,11.5,10,14.4,82.5,95,76.7,53.3,82.76,1723606055,,
62,NURSE102-24A (HAM),Squire,Ariana,1026291,squire.ariana@waikato.ac.nz,10.5,10,15,19.5,9.5,5,5,5,5,11.5,9.5,15.3,80,70,26.7,78.3,72.67,1723606055,,
63,NURSE102-24A (HAM),Alexia,Georgia,1714000,alexia.georgia@waikato.ac.nz,12.8,8.5,14.6,20.3,11.5,5,4.5,5,4.5,12,10,15.9,77.5,90,56.7,58.3,78.23,1723606055,,
64,NURSE102-24A (HAM),Verda,Dot,1332116,verda.dot@waikato.ac.nz,10,9,15,19,14,5,5,5,4.5,12,3,10.3,95,80,81.7,93.3,87.81,1723606055,,
65,NURSE102-24A (HAM),Jettie,Vaughn,1013807,jettie.vaughn@outlook.com,14.8,8.5,14.2,20.8,12,5,4.5,4,4,12,9,15.7,75,65,56.7,58.3,72.97,1723606055,,
66,NURSE102-24A (HAM),Racheal,Elyse,1970786,racheal.elyse@outlook.com,15,9.8,14.4,21.3,12.8,4.2,5,5,4,11.5,10,16,90,80,80,66.7,84.41,1723606055,,
67,NURSE102-24A (HAM),Shaniya,Capitola,1492430,shaniya.capitola@waikato.ac.nz,14.5,10,14.6,22,13,5,4.5,5,5,12,10,16,95,90,86.7,86.7,92.38,1723606055,,
68,NURSE102-24A (HAM),Beecher,Astrid,1050357,beecher.astrid@gmail.com,12,9.5,14.5,20,13.5,4.7,4.5,5,4,12,9,13.1,75,82.5,61.7,53.3,76.29,1723606055,,
69,NURSE102-24A (HAM),Nina,Arrie,1397234,nina.arrie@outlook.com,-,-,0,0,0,0,-,-,0,0,-,-,32.5,35,11.7,6.7,16.26,1723606055,,
70,NURSE102-24A (HAM),Rita,Moody,1249543,rita.moody@waikato.ac.nz,12.5,10,13.5,18.5,11,4.3,4,5,3.5,12,10,10,60,80,58.3,53.3,70.74,1723606055,,
71,NURSE102-24A (HAM),Chrissy,Nolan,1729644,chrissy.nolan@outlook.com,12.5,10,13.5,20.5,13.5,5,4.5,5,4.5,10,8.1,15,80,95,85,100,90.65,1723606055,,
72,NURSE102-24A (HAM),Nannie,Elenore,1310874,nannie.elenore@gmail.com,10.5,7.5,15,16.8,11.6,5,5,0,4.3,11,9,13,55,50,11.7,15,49.66,1723606055,,
73,NURSE102-24A (HAM),Derrick,Treena,1219068,derrick.treena@gmail.com,15,10,13.8,21.3,11.8,5,5,4,4,10.5,10,15.3,72.5,67.5,46.7,63.3,72.86,1723606055,,
74,NURSE102-24A (HAM),Xavier,Maiya,1975314,xavier.maiya@waikato.ac.nz,13.5,7.5,12.3,21,13,4.5,5,4,5,12,9.6,15,85,82.5,58.3,65,78.7,1723606055,,
75,NURSE102-24A (HAM),Dulcie,Tinnie,1045613,dulcie.tinnie@outlook.com,15,10,13,17.8,13.8,3.6,4,5,4,11,0,10.3,70,87.5,66.7,33.3,72.19,1723606055,,
76,NURSE102-24A (HAM),Hayleigh,Luc,1061736,hayleigh.luc@waikato.ac.nz,9,10,13,21,13.5,4.7,4.5,5,4.5,11.5,10,12.7,75,90,81.7,98.3,86.85,1723606055,,
77,NURSE102-24A (HAM),Cheri,Lisbeth,1795325,cheri.lisbeth@outlook.com,14.8,9,12.4,12.5,10.1,0,4,5,4.5,0,9,-,65,75,73.3,35,63.86,1723606055,,
78,NURSE102-24A (HAM),Darryll,Brielle,1659278,darryll.brielle@outlook.com,13.5,10,14,20.3,13,5,4.5,5,4.5,11.5,9,15,95,95,91.7,76.7,91.59,1723606055,,
79,NURSE102-24A (HAM),Nathanial,Cailyn,1358134,nathanial.cailyn@outlook.com,14.5,10,14.5,19,13,4.5,4,5,4.5,12,10,15.7,70,82.5,62.5,73.3,79.05,1723606055,,
80,NURSE102-24A (HAM),Cedrick,Elvera,1084697,cedrick.elvera@waikato.ac.nz,14.5,10,14.8,22,13.8,5,5,5,5,11.5,10,14.5,77.5,75,53.3,61.7,77.37,1723606055,,
81,NURSE102-24A (HAM),Cato,Lawanda,1596744,cato.lawanda@outlook.com,14.5,9.5,15,19,6.8,4.7,4,5,5,9.5,10,11,50,82.5,71.7,55,71.61,1723606055,,
82,NURSE102-24A (HAM),Gardner,Baby,1372652,gardner.baby@gmail.com,12.2,9,12.9,19,13,4.7,5,5,4.3,11.5,9,14.1,77.5,80,53.3,60,75.32,1723606055,,
83,NURSE102-24A (HAM),Flem,Jonathon,1625634,flem.jonathon@gmail.com,15,10,14.6,21.3,11.8,4.3,5,5,3.8,11.5,10,16,85,92.5,76.7,63.3,84.8,1723606055,,
84,NURSE102-24A (HAM),Shafter,Carmelita,1926319,shafter.carmelita@waikato.ac.nz,13,10,14.3,21.2,12.8,4.7,5,5,3.3,9,10,14.6,65,75,65,48.3,72.87,1723606055,,
85,NURSE102-24A (HAM),Jailyn,Byron,1024133,jailyn.byron@outlook.com,8.8,8.8,14.8,19.8,12.6,3.5,5,5,4.5,12,10,13.6,92.5,85,70,55,79.81,1723606055,,
86,NURSE102-24A (HAM),Noble,Norine,1723394,noble.norine@waikato.ac.nz,12.5,8.5,14.6,22,11,5,4.5,5,3.5,12,10,15.8,95,92.5,68.3,81.7,87.36,1723606055,,
87,NURSE102-24A (HAM),Angelia,Robin,1319143,angelia.robin@outlook.com,13,8.8,14.8,21.3,12.1,5,4.5,5,4,10,10,16,82.5,80,55,51.7,76.3,1723606055,,
88,NURSE102-24A (HAM),Ayaan,Crawford,1272698,ayaan.crawford@waikato.ac.nz,14,7.5,12.9,19.5,12,4.7,3.3,4,3.6,11.5,10,13.8,57.5,77.5,60,38.3,67.65,1723606055,,
89,NURSE102-24A (HAM),Flor,Tamiko,1854162,flor.tamiko@gmail.com,10,8.5,12.9,19,11.5,0,5,5,4.5,11.5,10,0,70,70,56.7,51.7,65.37,1723606055,,
90,NURSE102-24A (HAM),Kortney,Levy,1103132,kortney.levy@outlook.com,14,7,14,18.5,9.3,5,4.5,5,5,12,5,13.6,75,90,55,55.8,75.16,1723606055,,
91,NURSE102-24A (HAM),Rosalie,Julious,1580271,rosalie.julious@gmail.com,12.5,7.8,14.8,17.8,10.8,4.7,5,2,3.8,8.5,7,13.5,37.5,55,31.7,45,54.9,1723606055,,
92,NURSE102-24A (HAM),Carrol,Larkin,1293799,carrol.larkin@waikato.ac.nz,12,9,14.3,17,12.8,5,5,5,5,8.5,10,14.7,70,80,58.3,63.3,75.23,1723606055,,
93,NURSE102-24A (HAM),Corrine,Zela,1548828,corrine.zela@gmail.com,15,9.5,8.2,17.6,11.8,4,2.8,4,5,10.5,10,15.3,52.5,60,58.3,51.7,63.95,1723606055,,
94,NURSE102-24A (HAM),Jaleel,Lassie,1672243,jaleel.lassie@outlook.com,15,8.5,14.3,18.8,0,5,4.5,5,4,12,0,8.8,75,77.5,70,30,68.38,1723606055,,
95,NURSE102-24A (HAM),Mitchell,Melissia,1665246,mitchell.melissia@gmail.com,14.5,8.5,14,13.8,10.3,4.7,5,5,4,10.5,10,14,80,72.5,65,40,72.01,1723606055,,
96,NURSE102-24A (HAM),Gay,Ben,1056779,gay.ben@gmail.com,11.9,8.5,13.4,18,10,4.3,5,4,4,11.5,7.1,12.6,57.5,50,33.3,26.7,55.27,1723606055,,
97,NURSE102-24A (HAM),Hartwell,Brandi,1807227,hartwell.brandi@outlook.com,6,7.5,13.5,14,7.8,0,4.5,5,2.5,8.5,6.4,-,52.5,77.5,61.7,46.7,58.98,1723606055,,
98,NURSE102-24A (HAM),Fleming,Aurilla,1182710,fleming.aurilla@waikato.ac.nz,14,10,14,17.5,13,5,5,5,4.5,11.5,10,11.5,90,85,63.3,61.7,81.69,1723606055,,
99,NURSE102-24A (HAM),Joline,Kimberly,1929643,joline.kimberly@gmail.com,9.3,9,14.6,21,12.5,5,5,5,4.3,12,10,15.8,67.5,82.5,56.7,56.7,74.22,1723606055,,
100,NURSE102-24A (HAM),Tiny,Bria,1524478,tiny.bria@gmail.com,9,8.5,11.5,15.5,13.8,4.2,3.5,5,3,10.5,10,14,60,72.5,56.7,40,65.04,1723606055,,
101,NURSE102-24A (HAM),Shaquita,Codi,1329457,shaquita.codi@outlook.com,13.5,7.5,14,19.5,12.3,5,5,5,5,11.5,10,10.3,87.5,90,80,96.7,89,1723606055,,
102,NURSE102-24A (HAM),Cliffie,Faron,1273450,cliffie.faron@gmail.com,12.5,9,15,21,9.8,5,4.5,5,5,11.5,9.3,13.8,92.5,87.5,60,75,83.45,1723606055,,
103,NURSE102-24A (HAM),Leota,Ozella,1890836,leota.ozella@outlook.com,9,8.5,0,19.2,10.5,4.7,4.3,5,4.5,11,10,14.9,55,65,53.3,31.7,58.41,1723606055,,
104,NURSE102-24A (HAM),Summer,Oliva,1829759,summer.oliva@gmail.com,13.9,10,14.1,20.5,12,5,5,5,4.5,12,10,16,82.5,92.5,71.7,61.7,83.53,1723606055,,
105,NURSE102-24A (HAM),Aron,Mitch,1722039,aron.mitch@waikato.ac.nz,13,10,15,21.5,14,5,5,5,5,12,10,14,87.5,85,61.7,68.3,83.25,1723606055,,
106,NURSE102-24A (HAM),Doctor,Clarabelle,1322953,doctor.clarabelle@waikato.ac.nz,12.5,10,15,21,13.5,0,4.8,5,5,10,8,0,87.5,75,56.7,46.7,71.61,1723606055,,
107,NURSE102-24A (HAM),Gennaro,Norah,1966610,gennaro.norah@gmail.com,14,10,14.6,17.5,11.1,4.7,4.7,4,5,11.5,10,13.8,95,87.5,80,70,86.3,1723606055,,
108,NURSE102-24A (HAM),Teddy,Celestia,1805028,teddy.celestia@gmail.com,6,8,14,18,12.3,4.7,4.5,5,4.3,10,9,14.3,67.5,77.5,63.3,70,73.46,1723606055,,
109,NURSE102-24A (HAM),Nanette,Alfreda,1070027,nanette.alfreda@outlook.com,13,9,15,21,10,4.7,0,3,4.3,11.5,8.3,12.7,55,80,33.3,41.7,63.79,1723606055,,
110,NURSE102-24A (HAM),Elroy,Ximena,1461205,elroy.ximena@gmail.com,13.5,7,13.5,19,11,4.2,5,5,4,11.5,10,14,90,90,81.7,43.3,80.34,1723606055,,
111,NURSE102-24A (HAM),Jamila,Constance,1053254,jamila.constance@gmail.com,11,6,13,8,0,0,5,5,4,9.5,9,-,50,45,45,48.3,47.74,1723606055,,
112,NURSE102-24A (HAM),Bette,Hugo,1682370,bette.hugo@outlook.com,14.7,10,14.4,20.7,11.5,3.6,5,5,4.5,9.5,9.5,14.7,62.5,52.5,41.7,45,63.25,1723606055,,
113,NURSE102-24A (HAM),Kiera,Rogers,1117520,kiera.rogers@gmail.com,10.5,8.5,15,21.3,13.8,5,5,5,5,11.5,9,16,72.5,80,31.7,41.7,69.38,1723606055,,
114,NURSE102-24A (HAM),Hollis,Clemente,1366798,hollis.clemente@waikato.ac.nz,7.3,7,13.6,18.3,11.2,3.8,4.7,4,4,9.5,10,12.1,75,80,50,60,70.53,1723606055,,
115,NURSE102-24A (HAM),Ginny,Reino,1462581,ginny.reino@outlook.com,9.5,10,14.5,21,14,5,4.5,5,5,12,10,14.7,70,87.5,33.3,55,72.78,1723606055,,
116,NURSE102-24A (HAM),Adline,Jameson,1716397,adline.jameson@outlook.com,12,8.8,15,21,13.1,5,5,5,4.5,11.5,10,15.9,77.5,77.5,35,40,70.38,1723606055,,
117,NURSE102-24A (HAM),Tashina,Purl,1873045,tashina.purl@outlook.com,10.5,7.8,14.6,20,12.3,5,5,5,4.3,11.5,10,14.1,70,87.5,70,35,73.91,1723606055,,
118,NURSE102-24A (HAM),Dominque,Lara,1920445,dominque.lara@gmail.com,14.8,10,14.6,21,8,5,5,5,5,12,10,14.5,87.5,87.5,68.33,73.3,84.09,1723606055,,
119,NURSE102-24A (HAM),Dominique,Ryann,1963019,dominique.ryann@gmail.com,14.5,5.8,13.3,19.4,11.3,4.7,4.8,5,3,10.5,8.5,14.5,62.5,62.5,43.3,65,66.69,1723606055,,
120,NURSE102-24A (HAM),Paulette,Madie,1628703,paulette.madie@waikato.ac.nz,15,10,14.6,21.5,13.8,5,4.8,5,3.3,11,8,13.8,77.5,82.5,71.7,98.3,86.44,1723606055,,
121,NURSE102-24A (HAM),Victorine,Tex,1825902,victorine.tex@waikato.ac.nz,9,7.5,14.5,16.3,9.3,3.8,3.5,3,3.5,11,10,13,65,72.5,56.66,43.3,65.15,1723606055,,
122,NURSE102-24A (HAM),Hermann,Gerard,1991327,hermann.gerard@waikato.ac.nz,10.5,8.8,14.8,20.5,12.3,0,4.8,5,4,9.5,8.5,-,65,75,56.7,41.7,64.67,1723606055,,
123,NURSE102-24A (HAM),Asbury,Major,1486330,asbury.major@outlook.com,15,10,15,20.5,12.5,4.5,5,5,4.5,11.5,10,13.5,95,90,80,70,88.1,1723606055,,
124,NURSE102-24A (HAM),Yaritza,Galilea,1829964,yaritza.galilea@gmail.com,10,9,15,20.5,11,4,3.4,0,0,8,0,10.3,72.5,62.5,41.7,26.7,59.59,1723606056,,
125,NURSE102-24A (HAM),Misti,Saniya,1626773,misti.saniya@gmail.com,12.5,9,13.4,20.5,12,0,5,4,5,11,9,-,75,85,68.3,-,64.52,1723606056,,
126,NURSE102-24A (HAM),Karson,Gifford,1204524,karson.gifford@outlook.com,12.5,8,14,18.5,13.5,4.3,4.5,5,3.8,12,10,13.5,77.5,82.5,66.7,65,78.19,1723606056,,
127,NURSE102-24A (HAM),Hessie,Lisette,1863545,hessie.lisette@gmail.com,13.1,8.8,14.6,19.6,12.5,4,4.8,5,3.8,10.5,10,7,65,82.5,60,65,74.52,1723606056,,
128,NURSE102-24A (HAM),Kenna,Misti,1289731,kenna.misti@gmail.com,11.5,8,14.5,18,14,4.2,5,4,5,10.5,9,8.5,52.5,72.5,71.7,85,74.38,1723606056,,
129,NURSE102-24A (HAM),Anabelle,Nana,1467206,anabelle.nana@outlook.com,12,8.5,14.5,14.8,13.3,4.7,5,5,4.5,9.5,10,11.5,42.5,65,43.3,47.8,61.29,1723606056,,
130,NURSE102-24A (HAM),Alpha,Angelina,1089456,alpha.angelina@gmail.com,14,9,14.5,21,13.3,5,4.5,5,5,12,10,16,97.5,92.5,91.7,95,94.72,1723606056,,
